name of the place,category,latitude,longitude,visit_start,visit_end,description,spend_time_minutes
Tirumala Venkateswara Temple,Temple,13.683267,79.347422,09:00,17:00,Popular temple located in Tirupati region,44
Silathoranam (Sila Thoranam),Natural Arch / Sight,13.6839,79.3475,10:30,20:00,Popular natural arch / sight located in Tirupati region,39
Akasa Ganga (Tirumala Falls),Waterfall / Pilgrimage spot,13.6845,79.3468,09:00,17:00,Popular waterfall / pilgrimage spot located in Tirupati region,82
Sri Venkateswara Zoological Park (SV Zoo),Zoo / Park,13.6249,79.3646,10:30,20:00,Popular zoo / park located in Tirupati region,96
Sri Padmavathi Ammavari Temple (Tiruchanur),Temple,13.624,79.412,09:00,17:00,Popular temple located in Tirupati region,62
Govindaraja Swamy Temple,Temple,13.655167,79.383208,10:30,20:00,Popular temple located in Tirupati region,50
Kapila Theertham,Temple / Waterfall,13.654,79.421,09:00,17:00,Popular temple / waterfall located in Tirupati region,55
ISKCON Tirupati,Temple,13.6355,79.432,10:30,20:00,Popular temple located in Tirupati region,71
Chandragiri Fort & Raja Mahal,Fort / Museum,13.472,79.09,09:00,17:00,Popular fort / museum located in Tirupati region,41
Talakona Waterfalls,Waterfall / Nature,13.466,79.419,10:30,20:00,Popular waterfall / nature located in Tirupati region,29
Kalyana Venkateswara Temple (Srinivasa Mangapuram),Temple,13.639,79.415,09:00,17:00,Popular temple located in Tirupati region,60
Alipiri Mettu (Ghat footpath start),Pilgrimage route,13.633,79.403,10:30,20:00,Popular pilgrimage route located in Tirupati region,49
Ramanuja Samadhi,Religious site,13.655,79.387,09:00,17:00,Popular religious site located in Tirupati region,118
Sri Kodandarama Swamy Temple (Tirupati),Temple,13.63,79.42,10:30,20:00,Popular temple located in Tirupati region,89
TTD Laddu Prasadam Counter (Tirumala),Food / Prasadam,13.6835,79.3476,09:00,17:00,Popular food / prasadam located in Tirupati region,72
Sri Venkateswara Museum (Tirupati),Museum,13.659,79.386,10:30,20:00,Popular museum located in Tirupati region,37
Tirupati Hill View Point (Tirumala),Viewpoint,13.684,79.348,09:00,17:00,Popular viewpoint located in Tirupati region,54
Sri Venkateswara Regional Science Centre,Science Centre,13.628,79.42,10:30,20:00,Popular science centre located in Tirupati region,105
Sri Venkateswara Botanical Garden,Park / Garden,13.62,79.43,09:00,17:00,Popular park / garden located in Tirupati region,82
Hotel Woodlands (Veg Restaurant),Food,13.6315,79.4205,10:30,20:00,Popular food located in Tirupati region,102
Annapurna Hotel / Vegetarian Meals,Food,13.6295,79.423,09:00,17:00,Popular food located in Tirupati region,75
Sri Mallikarjuna Swamy Temple (near Tirupati),Temple,13.64,79.41,10:30,20:00,Popular temple located in Tirupati region,74
Sri Venkateswara Central Bus Station (TPS),Transit / Landmark,13.63,79.4205,09:00,17:00,Popular transit / landmark located in Tirupati region,81
Regional Handicrafts Emporium (Cottage Industries),Shopping / Landmark,13.633,79.419,10:30,20:00,Popular shopping / landmark located in Tirupati region,61
Srinivasa Kalyana Mandapam (Wedding hall / Landmark),Landmark,13.636,79.421,09:00,17:00,Popular landmark located in Tirupati region,27
Sri Venkateswara Hilltop Deer Park,Park / Wildlife,13.682,79.349,10:30,20:00,Popular park / wildlife located in Tirupati region,34
Lepakshi (veerbhadra temple — nearby famous site),Temple / Heritage,13.7333,77.96,09:00,17:00,Popular temple / heritage located in Tirupati region,114
Sri Kalyana Venkateswara Temple (Vontimitta) - nearby,Temple,14.0333,78.5833,10:30,20:00,Popular temple located in Tirupati region,57
Local Street Food Hub (Near RTC Bus Stand),Food / Street,13.6302,79.4194,09:00,17:00,Popular food / street located in Tirupati region,84
